Species_1,Species_2,Distance,Dist *100
62857328,62857328,0,0
9633607,62857328,0.775093,77.5093
6136264,62857328,0.888889,88.8889
138873,62857328,0.899306,89.9306
237642071,62857328,0.768248,76.8248
71658847,62857328,0.881944,88.1944
18999349,62857328,0.871528,87.1528
338826805,62857328,0.842014,84.2014
550455635,62857328,0.846465,84.6465
422933778,62857328,0.768953,76.8953
56698740,62857328,0.84375,84.375
33235706,62857328,0.811321,81.1321
23334622,62857328,0.850694,85.0694
23334619,62857328,0.646127,64.6127
401715658,62857328,0.845486,84.5486
389617268,62857328,0.757798,75.7798
378941792,62857328,0.814259,81.4259
817524604,62857328,0.795139,79.5139
6136266,62857328,0.759633,75.9633
6136265,62857328,0.765138,76.5138
726965494,62857328,0.866319,86.6319
726965490,62857328,0.869792,86.9792
726965486,62857328,0.866319,86.6319
726965482,62857328,0.868056,86.8056
726965478,62857328,0.868056,86.8056
753220758,62857328,0.901042,90.1042
208429852,62857328,0.899306,89.9306
34447098,62857328,0.770221,77.0221
23334612,62857328,0.848958,84.8958
698029512,62857328,0.848958,84.8958
672432742,62857328,0.871528,87.1528
672351302,62857328,0.875,87.5
302317864,62857328,0.901042,90.1042
283139266,62857328,0.864583,86.4583
229342012,62857328,0.895833,89.5833
212671461,62857328,0.901042,90.1042
182636909,62857328,0.885417,88.5417
166064279,62857328,0.890625,89.0625
164520995,62857328,0.883681,88.3681
92090662,62857328,0.880208,88.0208
22252953,62857328,0.873264,87.3264
601447521,62857328,0.848958,84.8958
557307522,62857328,0.597826,59.7826
544446249,62857328,0.876736,87.6736
514054828,62857328,0.005208,0.5208
514054822,62857328,0.006944,0.6944
514054816,62857328,0.005208,0.5208
514054798,62857328,0.006944,0.6944
514252782,62857328,0.875,87.5
482679745,62857328,0.875,87.5
416948801,62857328,0.875,87.5
402914238,62857328,0.876736,87.6736
322688187,62857328,0.895833,89.5833
294441962,62857328,0.871528,87.1528
41057570,62857328,0.761468,76.1468
400354852,62857328,0.840278,84.0278
359427494,62857328,0.871528,87.1528
